round, result, cumulative, average,type
88,TRUE,74,0.840909091,sim
89,TRUE,75,0.842696629,sim
90,TRUE,76,0.844444444,sim
91,TRUE,77,0.846153846,sim
92,TRUE,78,0.847826087,sim
93,TRUE,79,0.849462366,sim
94,TRUE,80,0.85106383,sim
95,TRUE,81,0.852631579,sim
96,FALSE,81,0.84375,sim
97,FALSE,81,0.835051546,sim
98,TRUE,82,0.836734694,sim
99,TRUE,83,0.838383838,sim
100,TRUE,84,0.84,sim
1,FALSE,0,0,comp
2,TRUE,1,0.5,comp
3,TRUE,2,0.666666667,comp
4,FALSE,2,0.5,comp
5,TRUE,3,0.6,comp
6,TRUE,4,0.666666667,comp
7,FALSE,4,0.571428571,comp
8,FALSE,4,0.5,comp
9,TRUE,5,0.555555556,comp
10,TRUE,6,0.6,comp
11,TRUE,7,0.636363636,comp
12,FALSE,7,0.583333333,comp
13,TRUE,8,0.615384615,comp
14,TRUE,9,0.642857143,comp
15,FALSE,9,0.6,comp
16,TRUE,10,0.625,comp
17,TRUE,11,0.647058824,comp
18,TRUE,12,0.666666667,comp
19,TRUE,13,0.684210526,comp
20,TRUE,14,0.7,comp
21,TRUE,15,0.714285714,comp
22,TRUE,16,0.727272727,comp
23,TRUE,17,0.739130435,comp
24,TRUE,18,0.75,comp
25,TRUE,19,0.76,comp
26,TRUE,20,0.769230769,comp
27,TRUE,21,0.777777778,comp
28,TRUE,22,0.785714286,comp
29,FALSE,22,0.75862069,comp
30,FALSE,22,0.733333333,comp
31,TRUE,23,0.741935484,comp
32,FALSE,23,0.71875,comp
33,FALSE,23,0.696969697,comp
34,FALSE,23,0.676470588,comp
35,TRUE,24,0.685714286,comp
36,TRUE,25,0.694444444,comp
37,TRUE,26,0.702702703,comp
38,TRUE,27,0.710526316,comp
39,TRUE,28,0.717948718,comp
40,TRUE,29,0.725,comp
41,TRUE,30,0.731707317,comp
42,FALSE,30,0.714285714,comp
43,TRUE,31,0.720930233,comp
44,TRUE,32,0.727272727,comp
45,TRUE,33,0.733333333,comp
46,TRUE,34,0.739130435,comp
47,TRUE,35,0.744680851,comp
48,TRUE,36,0.75,comp
49,FALSE,36,0.734693878,comp
50,FALSE,36,0.72,comp
51,TRUE,37,0.725490196,comp
52,TRUE,38,0.730769231,comp
53,TRUE,39,0.735849057,comp
54,TRUE,40,0.740740741,comp
55,TRUE,41,0.745454545,comp
56,TRUE,42,0.75,comp
57,TRUE,43,0.754385965,comp
58,TRUE,44,0.75862069,comp
59,FALSE,44,0.745762712,comp
60,TRUE,45,0.75,comp
61,TRUE,46,0.754098361,comp
62,TRUE,47,0.758064516,comp
63,TRUE,48,0.761904762,comp
64,FALSE,48,0.75,comp
65,TRUE,49,0.753846154,comp
66,TRUE,50,0.757575758,comp
67,TRUE,51,0.76119403,comp
68,FALSE,51,0.75,comp
69,TRUE,52,0.753623188,comp
70,TRUE,53,0.757142857,comp
71,TRUE,54,0.76056338,comp
72,TRUE,55,0.763888889,comp
73,TRUE,56,0.767123288,comp
74,TRUE,57,0.77027027,comp
75,TRUE,58,0.773333333,comp
76,TRUE,59,0.776315789,comp
77,FALSE,59,0.766233766,comp
78,TRUE,60,0.769230769,comp
79,TRUE,61,0.772151899,comp
80,TRUE,62,0.775,comp
81,FALSE,62,0.765432099,comp
82,TRUE,63,0.768292683,comp
83,TRUE,64,0.771084337,comp
84,TRUE,65,0.773809524,comp
85,FALSE,65,0.764705882,comp
86,TRUE,66,0.76744186,comp
87,TRUE,67,0.770114943,comp
88,TRUE,68,0.772727273,comp
89,TRUE,69,0.775280899,comp
90,TRUE,70,0.777777778,comp
91,TRUE,71,0.78021978,comp
92,TRUE,72,0.782608696,comp
93,TRUE,73,0.784946237,comp
94,FALSE,73,0.776595745,comp
95,FALSE,73,0.768421053,comp
96,FALSE,73,0.760416667,comp
97,TRUE,74,0.762886598,comp
98,TRUE,75,0.765306122,comp
99,TRUE,76,0.767676768,comp
100,TRUE,77,0.77,comp
